analysisId,nctId,HYPERLINK,pValue,statisticalMethod,studyType,EARLY_PHASE1,PHASE1,PHASE2,PHASE3,PHASE4,outcomeTitle,outcomeType,groupDescription,conditionIds,briefTitle,has_less_than,N,model,I,R,C,JAB,FINDING,NOTES
f317ed14510333e5f066d36d42ff8175,NCT05493787,NCT05493787,0.003,Linear regression,INTERVENTIONAL,0,0,0,0,0,Number of Patients Who Self-scheduled a Flu Shot,PRIMARY,"Null hypothesis: Flu shot self-scheduling does not differ between those sent a Protect Yourself - Rare message and those not sent a message (i.e., those in the Passive Control group); Alternative hypothesis: Sending a Protect Yourself - Rare Message increases self-scheduling compared with sending no message. Analysis combines across November and December send dates.",NA,Nudging Flu Vaccination by Making it Easy for Patients to Schedule a Flu Shot,FALSE,46468,linear_regression,NA,NA,NA,2.636942663,Sending a Protect Yourself - Rare Message increases self-scheduling for a flu vaccination compared with sending no message.,
3103c1cdf8db340528907f371feaf0b0,NCT05493787,NCT05493787,0.003,Linear regression,INTERVENTIONAL,0,0,0,0,0,Number of Patients Who Self-scheduled a Flu Shot,PRIMARY,"Null hypothesis: Flu shot self-scheduling does not differ between those sent an Active Control message and those not sent a message (i.e., those in the Passive Control group); Alternative hypothesis: Sending an Active Control message increases self-scheduling compared with sending no message. Analysis combines across November and December send dates.",NA,Nudging Flu Vaccination by Making it Easy for Patients to Schedule a Flu Shot,FALSE,46510,linear_regression,NA,NA,NA,2.638133865,Sending an Active Control message increases self-scheduling for a flu vaccination compared with sending no message.,
eca193d4e389a5a14b58f376a962dfdd,NCT05481216,NCT05481216,0.009,Logistic regression,OBSERVATIONAL,0,0,0,0,0,HIV Viral Load,PRIMARY,Conditional logistic regression models accounting for case-control matching will be used to identify risk factors for advanced immunodeficiency associated with COVID-19.,D000086382; D060085,HIV-1 & Coronavirus-Coinfection in Europe: Morbidity & Risk Factors of COVID-19 in People Living With HIV,FALSE,1492,logistic_regression,NA,NA,NA,1.277377876,"There is a statistically significant association between HIV viral load and the odds of being a COVID-19 patient. Specifically, patients with a higher viral load have higher odds of being a COVID-19 patient compared to those with a lower viral load. ",
b718a883aece9aea10cefcb62cbc1afa,NCT05401149,NCT05401149,0.007,Logistic regression,OBSERVATIONAL,0,0,0,0,0,Distribution of Modified Rankin Scale (mRS) Score at 1 Year,SECONDARY,NA,D020521,Alteplase Treatment in Elderly Acute Ischaemic Stroke (AIS) Patients,FALSE,1560,logistic_regression,NA,NA,NA,1.042964508,"There is a statistically significant association between Alteplase treatment and the odds of a better outcome on the modified Rankin Scale (mRS) at 1 year. Specifically, elderly acute ischaemic stroke patients who received Alteplase had lower odds of a worse outcome compared to those who did not receive reperfusion treatment. ",
8ee02c83b816319b930e382ae5a3ace2,NCT05127304,NCT05127304,0.003,Linear regression,OBSERVATIONAL,0,0,0,0,0,COPD or Pneumonia-attributable Health Care Costs (Insurer + Patient Paid Amounts),PRIMARY,Outpatient visits costs,D029424,"A Study Using US Medical and Pharmacy Claim Records to Compare the Resource Use, Cost, and Outcomes of People With COPD Who Take Either Tiotropium + Olodaterol or Fluticasone + Umeclidinium + Vilanterol",FALSE,11316,linear_regression,NA,NA,NA,1.301661375,There is a difference in population annualized average outpatient visits costs for patients with COPD for TIO/OLO vs FF/UMEC/VI. ,No method of estimation specified.
1a5ac4f36696f4edcf350047cc750508,NCT05127304,NCT05127304,0.007,Linear regression,OBSERVATIONAL,0,0,0,0,0,COPD or Pneumonia-attributable Health Care Resource Utilization,PRIMARY,Other medical visits,D029424,"A Study Using US Medical and Pharmacy Claim Records to Compare the Resource Use, Cost, and Outcomes of People With COPD Who Take Either Tiotropium + Olodaterol or Fluticasone + Umeclidinium + Vilanterol",FALSE,11316,linear_regression,NA,NA,NA,2.803373015,"There is a difference in population annualized COPD or pneumonia-attributable health care resource utilization for ""other medical visits (independent laboratory, home health, durable medical equipment, etc.)"" for patients with COPD between TIO/OLO vs FF/UMEC/VI. ",No method of estimation specified.
e2602fe136fb064e228d3d88d749d873,NCT05018689,NCT05018689,0.006,Linear regression,INTERVENTIONAL,0,0,0,0,0,Change in University of Michigan Depression Center Peer-to-Peer Depression Awareness Assessment Perceptions of School Culture Scores From Baseline (1 of 8),SECONDARY,I would try to stay away from the new student,NA,Evaluation of the Aevidum Curriculum and Club,FALSE,2557,linear_regression,NA,NA,NA,1.161392963,"There is a statistically significant difference in the change in Perceptions of School Culture scores between the two groups. Specifically, the group that received the Aevidum Curriculum plus a club had a less favorable change in their scores from baseline compared to the group that only received the Aevidum Curriculum.",
1275bf5f32a561db3fa165ddcb342e6b,NCT05012163,NCT05012163,0.002,Linear regression,INTERVENTIONAL,0,0,0,0,0,Flu Vaccination at Appointment,PRIMARY,Null hypothesis: There is no difference in vaccination rates between patients sent messages offering $1 cash in exchange for vaccination and those sent no study messages; Alternative hypothesis: the vaccination rate is higher in patients sent messages offering $1 cash compared to those who were not sent messages.,D007251,Lottery Incentive Nudges to Increase Influenza Vaccinations,FALSE,28792,linear_regression,NA,NA,NA,1.432361396,The vaccination rate is higher in patients sent messages offering $1 cash compared to those who were not sent messages.,
4ae21792c10ae68b89f112418bb8a63a,NCT04684836,NCT04684836,0.01,Linear regression,OBSERVATIONAL,0,0,0,0,0,Unplanned Hospital Admissions From the ED,PRIMARY,Difference-in-differences model,D008173; D029424; D006333,Comparative Effectiveness of Telemedicine in Primary Care,TRUE,33100,linear_regression,NA,NA,NA,6.594897244,"There is a statistically significant difference in the net mean of unplanned hospital admissions from the ED between the two groups. Specifically, practices with high telemedicine use had an increased mean of unplanned hospital admissions from the ED by 0.0806 compared to practices with low telemedicine use. ",
7ab7b452f927b4325c3ef2ac7c48481d,NCT04547192,NCT04547192,0.006,Linear regression,INTERVENTIONAL,0,0,0,0,0,Appropriate Use of Key Performance Indicators in Initial Assessment and Management of the Injured at Non-tertiary Hospitals in Ghana,PRIMARY,"Tetanus Considered for bites, burns, lacerations, and abrasions",D000066553,Improving Initial Management of the Injured at Ghanaian District and Regional Hospitals With a Trauma Intake Form,FALSE,4077,linear_regression,NA,NA,NA,1.465700146,"There is a statistically significant association between the introduction of a Trauma Intake Form (TIF) and increased odds of having key performance indicators (KPIs) - Tetanus Considered for bites, burns, lacerations, and abrasions - measured at the initial assessment of injured patients. Specifically, following the introduction of the TIF, the odds of having KPIs - Tetanus Considered for bites, burns, lacerations, and abrasions - measured were 5.18 times higher than the odds prior to its introduction. ",
