test_key,short,q,theta,n_min_tail,n_max
ttest,t-test,1,0.005018276804993,8513147,10000000
ttest,t-test,1,0.0063187888551852,5252434,10000000
ttest,t-test,1,0.007956335241748,3240642,10000000
ttest,t-test,1,0.0100182601333695,1999408,10000000
ttest,t-test,1,0.0126145433859082,1233593,10000000
ttest,t-test,1,0.0158836666962689,761101,10000000
ttest,t-test,1,0.02,469583,10000000
ttest,t-test,1,0.025,289723,10000000
ttest,t-test,1,0.0409090909090909,110287,10000000
ttest,t-test,1,0.0568181818181818,49315,10000000
ttest,t-test,1,0.0727272727272727,30426,10000000
ttest,t-test,1,0.0886363636363636,18772,10000000
ttest,t-test,1,0.1045454545454545,13605,10000000
ttest,t-test,1,0.1204545454545454,11582,10000000
ttest,t-test,1,0.1363636363636363,8394,10000000
ttest,t-test,1,0.1522727272727272,6083,10000000
ttest,t-test,1,0.1681818181818181,5179,10000000
ttest,t-test,1,0.184090909090909,4409,10000000
ttest,t-test,1,0.1999999999999999,3753,10000000
ttest,t-test,1,0.2159090909090908,2720,10000000
ttest,t-test,1,0.2318181818181817,2720,10000000
ttest,t-test,1,0.2477272727272727,2316,10000000
ttest,t-test,1,0.2636363636363636,1971,10000000
ttest,t-test,1,0.2795454545454545,1678,10000000
ttest,t-test,1,0.2954545454545454,1678,10000000
ttest,t-test,1,0.3113636363636363,1429,10000000
ttest,t-test,1,0.3272727272727272,1216,10000000
ttest,t-test,1,0.3431818181818181,1035,10000000
ttest,t-test,1,0.359090909090909,1035,10000000
ttest,t-test,1,0.375,1035,10000000
ttest,t-test,1,0.3909090909090909,882,10000000
ttest,t-test,1,0.4068181818181818,750,10000000
ttest,t-test,1,0.4227272727272727,750,10000000
ttest,t-test,1,0.4386363636363636,750,10000000
ttest,t-test,1,0.4545454545454545,639,10000000
ttest,t-test,1,0.4704545454545454,639,10000000
ttest,t-test,1,0.4863636363636363,544,10000000
ttest,t-test,1,0.5022727272727272,544,10000000
ttest,t-test,1,0.5181818181818181,394,10000000
ttest,t-test,1,0.5340909090909091,463,10000000
ttest,t-test,1,0.5499999999999999,463,10000000
ttest,t-test,1,0.5659090909090909,394,10000000
ttest,t-test,1,0.5818181818181818,394,10000000
ttest,t-test,1,0.5977272727272727,207,10000000
ttest,t-test,1,0.6136363636363636,207,10000000
ttest,t-test,1,0.6295454545454545,336,10000000
ttest,t-test,1,0.6454545454545454,176,10000000
ttest,t-test,1,0.6613636363636363,336,10000000
ttest,t-test,1,0.6772727272727272,336,10000000
ttest,t-test,1,0.6931818181818181,286,10000000
ttest,t-test,1,0.709090909090909,336,10000000
ttest,t-test,1,0.725,286,10000000
ttest,t-test,1,0.7409090909090909,336,10000000
ttest,t-test,1,0.7568181818181817,286,10000000
ttest,t-test,1,0.7727272727272727,336,10000000
ttest,t-test,1,0.7886363636363636,336,10000000
ttest,t-test,1,0.8045454545454545,336,10000000
ttest,t-test,1,0.8204545454545454,286,10000000
ttest,t-test,1,0.8363636363636363,336,10000000
ttest,t-test,1,0.8522727272727272,336,10000000
ttest,t-test,1,0.8681818181818182,286,10000000
ttest,t-test,1,0.884090909090909,336,10000000
ttest,t-test,1,0.9,336,10000000
lm,Linear regression,1,0.0025137201226837,8513147,10000000
lm,Linear regression,1,0.003165163523954,5252434,10000000
lm,Linear regression,1,0.0039854318080063,3240642,10000000
lm,Linear regression,1,0.005018276804993,1999408,10000000
lm,Linear regression,1,0.0063187888551852,1233593,10000000
lm,Linear regression,1,0.007956335241748,761101,10000000
lm,Linear regression,1,0.0100182601333695,469583,10000000
lm,Linear regression,1,0.0126145433859082,289723,10000000
lm,Linear regression,1,0.0158836666962689,178753,10000000
lm,Linear regression,1,0.02,110287,10000000
lm,Linear regression,1,0.025,68045,10000000
lm,Linear regression,1,0.0409090909090909,22051,10000000
lm,Linear regression,1,0.0568181818181818,11582,10000000
lm,Linear regression,1,0.0727272727272727,7146,10000000
lm,Linear regression,1,0.0886363636363636,4409,10000000
lm,Linear regression,1,0.1045454545454545,3195,10000000
lm,Linear regression,1,0.1204545454545454,2316,10000000
lm,Linear regression,1,0.1363636363636363,1971,10000000
lm,Linear regression,1,0.1522727272727272,1429,10000000
lm,Linear regression,1,0.1681818181818181,1216,10000000
lm,Linear regression,1,0.184090909090909,1035,10000000
lm,Linear regression,1,0.1999999999999999,882,10000000
lm,Linear regression,1,0.2159090909090908,750,10000000
lm,Linear regression,1,0.2318181818181817,544,10000000
lm,Linear regression,1,0.2477272727272727,463,10000000
lm,Linear regression,1,0.2636363636363636,463,10000000
lm,Linear regression,1,0.2795454545454545,394,10000000
lm,Linear regression,1,0.2954545454545454,336,10000000
lm,Linear regression,1,0.3113636363636363,336,10000000
lm,Linear regression,1,0.3272727272727272,336,10000000
lm,Linear regression,1,0.3431818181818181,336,10000000
lm,Linear regression,1,0.359090909090909,336,10000000
lm,Linear regression,1,0.375,336,10000000
lm,Linear regression,1,0.3909090909090909,336,10000000
lm,Linear regression,1,0.4068181818181818,336,10000000
lm,Linear regression,1,0.4227272727272727,336,10000000
lm,Linear regression,1,0.4386363636363636,336,10000000
lm,Linear regression,1,0.4545454545454545,336,10000000
lm,Linear regression,1,0.4704545454545454,336,10000000
lm,Linear regression,1,0.4863636363636363,336,10000000
lm,Linear regression,1,0.5022727272727272,336,10000000
lm,Linear regression,1,0.5181818181818181,336,10000000
lm,Linear regression,1,0.5340909090909091,336,10000000
lm,Linear regression,1,0.5499999999999999,336,10000000
lm,Linear regression,1,0.5659090909090909,336,10000000
lm,Linear regression,1,0.5818181818181818,336,10000000
lm,Linear regression,1,0.5977272727272727,336,10000000
lm,Linear regression,1,0.6136363636363636,336,10000000
lm,Linear regression,1,0.6295454545454545,336,10000000
lm,Linear regression,1,0.6454545454545454,336,10000000
lm,Linear regression,1,0.6613636363636363,336,10000000
lm,Linear regression,1,0.6772727272727272,336,10000000
lm,Linear regression,1,0.6931818181818181,336,10000000
lm,Linear regression,1,0.709090909090909,336,10000000
lm,Linear regression,1,0.725,336,10000000
lm,Linear regression,1,0.7409090909090909,336,10000000
lm,Linear regression,1,0.7568181818181817,336,10000000
lm,Linear regression,1,0.7727272727272727,336,10000000
lm,Linear regression,1,0.7886363636363636,336,10000000
lm,Linear regression,1,0.8045454545454545,336,10000000
lm,Linear regression,1,0.8204545454545454,336,10000000
lm,Linear regression,1,0.8363636363636363,336,10000000
lm,Linear regression,1,0.8522727272727272,336,10000000
lm,Linear regression,1,0.8681818181818182,336,10000000
lm,Linear regression,1,0.884090909090909,336,10000000
lm,Linear regression,1,0.9,336,10000000
logistic,Logistic regression,1,0.005018276804993,8513147,10000000
logistic,Logistic regression,1,0.0063187888551852,5252434,10000000
logistic,Logistic regression,1,0.007956335241748,3240642,10000000
logistic,Logistic regression,1,0.0100182601333695,1999408,10000000
logistic,Logistic regression,1,0.0126145433859082,1233593,10000000
logistic,Logistic regression,1,0.0158836666962689,761101,10000000
logistic,Logistic regression,1,0.02,469583,10000000
logistic,Logistic regression,1,0.025,289723,10000000
logistic,Logistic regression,1,0.0409090909090909,110287,10000000
logistic,Logistic regression,1,0.0568181818181818,49315,10000000
logistic,Logistic regression,1,0.0727272727272727,30426,10000000
logistic,Logistic regression,1,0.0886363636363636,18772,10000000
logistic,Logistic regression,1,0.1045454545454545,13605,10000000
logistic,Logistic regression,1,0.1204545454545454,9860,10000000
logistic,Logistic regression,1,0.1363636363636363,8394,10000000
logistic,Logistic regression,1,0.1522727272727272,6083,10000000
logistic,Logistic regression,1,0.1681818181818181,5179,10000000
logistic,Logistic regression,1,0.184090909090909,4409,10000000
logistic,Logistic regression,1,0.1999999999999999,3753,10000000
logistic,Logistic regression,1,0.2159090909090908,3195,10000000
logistic,Logistic regression,1,0.2318181818181817,2720,10000000
logistic,Logistic regression,1,0.2477272727272727,2316,10000000
logistic,Logistic regression,1,0.2636363636363636,1971,10000000
logistic,Logistic regression,1,0.2795454545454545,1971,10000000
logistic,Logistic regression,1,0.2954545454545454,1678,10000000
logistic,Logistic regression,1,0.3113636363636363,1429,10000000
logistic,Logistic regression,1,0.3272727272727272,1429,10000000
logistic,Logistic regression,1,0.3431818181818181,1216,10000000
logistic,Logistic regression,1,0.359090909090909,1035,10000000
logistic,Logistic regression,1,0.375,1035,10000000
logistic,Logistic regression,1,0.3909090909090909,882,10000000
logistic,Logistic regression,1,0.4068181818181818,882,10000000
logistic,Logistic regression,1,0.4227272727272727,750,10000000
logistic,Logistic regression,1,0.4386363636363636,639,10000000
logistic,Logistic regression,1,0.4545454545454545,750,10000000
logistic,Logistic regression,1,0.4704545454545454,639,10000000
logistic,Logistic regression,1,0.4863636363636363,639,10000000
logistic,Logistic regression,1,0.5022727272727272,639,10000000
logistic,Logistic regression,1,0.5181818181818181,544,10000000
logistic,Logistic regression,1,0.5340909090909091,544,10000000
