comparison,q,n,theta,alpha_reference,alpha_ejab,power_reference,power_ejab,risk_reference,risk_ejab,delta_r,normalized_delta_r
bic_bf01,1,1000000.0,0.01,6.291783524353592e-05,6.291730311057762e-05,0.9999999990036958,0.9999999990036834,3.1459415773871235e-05,3.145914971358632e-05,2.6606028491471534e-10,1.0642411396588614e-07
bic_bf01,1,1000000.0,0.05,6.291783524353592e-05,6.291730311057762e-05,1.0,1.0,3.145891762179609e-05,3.1458651555293926e-05,2.6606650216365324e-10,1.064266008654613e-07
bic_bf01,1,1000000.0,0.1,6.291783524353592e-05,6.291730311057762e-05,1.0,1.0,3.145891762179609e-05,3.1458651555293926e-05,2.6606650216365324e-10,1.064266008654613e-07
bic_bf01,1,100000000.0,0.01,5.606926229698409e-06,5.60692562587344e-06,1.0,1.0,2.8034631148754485e-06,2.803462812894786e-06,3.019806626980426e-13,1.2079226507921703e-10
bic_bf01,1,100000000.0,0.05,5.606926229698409e-06,5.60692562587344e-06,1.0,1.0,2.8034631148754485e-06,2.803462812894786e-06,3.019806626980426e-13,1.2079226507921703e-10
bic_bf01,1,100000000.0,0.1,5.606926229698409e-06,5.60692562587344e-06,1.0,1.0,2.8034631148754485e-06,2.803462812894786e-06,3.019806626980426e-13,1.2079226507921703e-10
bic_bf01,1,10000000000.0,0.01,5.106751850008948e-07,5.1067518433303e-07,1.0,1.0,2.5533759251405996e-07,2.5533759218099306e-07,3.3306690738754696e-16,1.3322676295501878e-13
bic_bf01,1,10000000000.0,0.05,5.106751850008948e-07,5.1067518433303e-07,1.0,1.0,2.5533759251405996e-07,2.5533759218099306e-07,3.3306690738754696e-16,1.3322676295501878e-13
bic_bf01,1,10000000000.0,0.1,5.106751850008948e-07,5.1067518433303e-07,1.0,1.0,2.5533759251405996e-07,2.5533759218099306e-07,3.3306690738754696e-16,1.3322676295501878e-13
bic_bf01,1,1000000000000.0,0.01,4.7206409912430595e-08,4.7206409911704344e-08,1.0,1.0,2.36032049460988e-08,2.36032049460988e-08,0.0,0.0
bic_bf01,1,1000000000000.0,0.05,4.7206409912430595e-08,4.7206409911704344e-08,1.0,1.0,2.36032049460988e-08,2.36032049460988e-08,0.0,0.0
