"test_key","test","q","n","theta","null_valid_reps","alt_valid_reps","alpha_p","power_p","alpha_ejab","power_ejab","alpha_bic","power_bic","alpha_tsbf","power_tsbf","risk_p","risk_ejab","risk_bic","risk_tsbf","delta_p_minus_ejab","delta_bic_minus_ejab","delta_tsbf_minus_ejab"
"anova","One-way ANOVA",3,30,0.05,2000,500,0.006,0.01,0.038,0.082,0.0095,0.022,0,0,0.498,0.478,0.49375,0.5,0.02,0.01575,0.022
"anova","One-way ANOVA",3,30,0.1,2000,500,0.006,0.008,0.038,0.05,0.0095,0.018,0,0,0.499,0.494,0.49575,0.5,0.005,0.00175000000000003,0.006
"anova","One-way ANOVA",3,30,0.2,2000,500,0.006,0.004,0.038,0.076,0.0095,0.026,0.005,0.002,0.501,0.481,0.49175,0.5015,0.02,0.01075,0.0204999999999999
"anova","One-way ANOVA",3,30,0.35,2000,500,0.006,0.08,0.038,0.276,0.0095,0.124,0.038,0.276,0.463,0.381,0.44275,0.381,0.082,0.06175,0
"anova","One-way ANOVA",3,30,0.5,2000,500,0.006,0.208,0.038,0.53,0.0095,0.332,0.052,0.59,0.399,0.254,0.33875,0.231,0.145,0.08475,-0.023
"anova","One-way ANOVA",3,30,0.8,2000,500,0.006,0.702,0.038,0.928,0.0095,0.814,0.0335,0.924,0.152,0.055,0.0977500000000001,0.05475,0.097,0.0427500000000001,-0.000249999999999972
"anova","One-way ANOVA",3,60,0.05,2000,500,0.003,0.012,0.0355,0.064,0.0025,0.008,0,0,0.4955,0.48575,0.49725,0.5,0.00974999999999993,0.0115,0.01425
"anova","One-way ANOVA",3,60,0.1,2000,500,0.003,0.014,0.0355,0.086,0.0025,0.008,0,0,0.4945,0.47475,0.49725,0.5,0.0197499999999999,0.0224999999999999,0.0252499999999999
"anova","One-way ANOVA",3,60,0.2,2000,500,0.003,0.056,0.0355,0.202,0.0025,0.042,0.0255,0.15,0.4735,0.41675,0.48025,0.43775,0.0567499999999999,0.0634999999999999,0.021
"anova","One-way ANOVA",3,60,0.35,2000,500,0.003,0.242,0.0355,0.556,0.0025,0.214,0.0465,0.608,0.3805,0.23975,0.39425,0.21925,0.14075,0.1545,-0.0205
"anova","One-way ANOVA",3,60,0.5,2000,500,0.003,0.634,0.0355,0.878,0.0025,0.57,0.0355,0.878,0.1845,0.07875,0.21625,0.07875,0.10575,0.1375,0
"anova","One-way ANOVA",3,60,0.8,2000,500,0.003,0.99,0.0355,0.996,0.0025,0.988,0.0125,0.992,0.00649999999999995,0.01975,0.00724999999999998,0.01025,-0.0132500000000001,-0.0125000000000001,-0.00950000000000006
"anova","One-way ANOVA",3,120,0.05,2000,500,0.009,0.002,0.0325,0.034,0.003,0,0,0,0.5035,0.49925,0.5015,0.5,0.00424999999999998,0.00224999999999997,0.000750000000000028
"anova","One-way ANOVA",3,120,0.1,2000,500,0.009,0.034,0.0325,0.114,0.003,0.012,0.009,0.038,0.4875,0.45925,0.4955,0.4855,0.0282499999999999,0.03625,0.0262499999999999
"anova","One-way ANOVA",3,120,0.2,2000,500,0.009,0.134,0.0325,0.332,0.003,0.064,0.046,0.386,0.4375,0.35025,0.4695,0.33,0.08725,0.11925,-0.0202499999999999
"anova","One-way ANOVA",3,120,0.35,2000,500,0.009,0.672,0.0325,0.854,0.003,0.514,0.0375,0.864,0.1685,0.08925,0.2445,0.08675,0.0792499999999999,0.15525,-0.00249999999999995
"anova","One-way ANOVA",3,120,0.5,2000,500,0.009,0.976,0.0325,0.996,0.003,0.926,0.021,0.99,0.0165,0.01825,0.0384999999999999,0.0155,-0.00175000000000003,0.0202499999999999,-0.00275000000000003
"anova","One-way ANOVA",3,120,0.8,2000,500,0.009,1,0.0325,1,0.003,1,0.009,1,0.00449999999999995,0.01625,0.00149999999999995,0.00449999999999995,-0.01175,-0.01475,-0.01175
"anova","One-way ANOVA",3,250,0.05,2000,500,0.003,0.01,0.0275,0.038,0,0,0,0,0.4965,0.49475,0.5,0.5,0.00174999999999992,0.00524999999999998,0.00524999999999998
"anova","One-way ANOVA",3,250,0.1,2000,500,0.003,0.048,0.0275,0.144,0,0.014,0.03,0.146,0.4775,0.44175,0.493,0.442,0.0357499999999999,0.05125,0.000249999999999972
"anova","One-way ANOVA",3,250,0.2,2000,500,0.003,0.43,0.0275,0.66,0,0.17,0.0415,0.732,0.2865,0.18375,0.415,0.15475,0.10275,0.23125,-0.029
"anova","One-way ANOVA",3,250,0.35,2000,500,0.003,0.972,0.0275,1,0,0.894,0.019,0.998,0.0155,0.01375,0.053,0.0105,0.00174999999999992,0.03925,-0.00325000000000009
"anova","One-way ANOVA",3,250,0.5,2000,500,0.003,1,0.0275,1,0,1,0.0045,1,0.00149999999999995,0.01375,0,0.00224999999999997,-0.0122500000000001,-0.01375,-0.0115000000000001
"anova","One-way ANOVA",3,250,0.8,2000,500,0.003,1,0.0275,1,0,1,0.0015,1,0.00149999999999995,0.01375,0,0.000750000000000028,-0.0122500000000001,-0.01375,-0.013
"anova","One-way ANOVA",3,500,0.05,2000,500,0.0045,0.028,0.0245,0.074,5e-04,0,0.0065,0.032,0.48825,0.47525,0.50025,0.48725,0.013,0.025,0.012
"anova","One-way ANOVA",3,500,0.1,2000,500,0.0045,0.168,0.0245,0.34,5e-04,0.026,0.043,0.466,0.41825,0.34225,0.48725,0.2885,0.076,0.145,-0.05375
"anova","One-way ANOVA",3,500,0.2,2000,500,0.0045,0.884,0.0245,0.962,5e-04,0.552,0.03,0.97,0.06025,0.03125,0.22425,0.03,0.029,0.193,-0.00124999999999997
"anova","One-way ANOVA",3,500,0.35,2000,500,0.0045,1,0.0245,1,5e-04,1,0.0065,1,0.00224999999999997,0.01225,0.000249999999999972,0.00324999999999998,-0.01,-0.012,-0.00900000000000001
"anova","One-way ANOVA",3,500,0.5,2000,500,0.0045,1,0.0245,1,5e-04,1,0.003,1,0.00224999999999997,0.01225,0.000249999999999972,0.00149999999999995,-0.01,-0.012,-0.01075
"anova","One-way ANOVA",3,500,0.8,2000,500,0.0045,1,0.0245,1,5e-04,1,5e-04,1,0.00224999999999997,0.01225,0.000249999999999972,0.000249999999999972,-0.01,-0.012,-0.012
"chisq","Chi-square independence",4,30,0.05,2000,500,0.0035,0.008,0.0455,0.044,0.007,0.014,0,0,0.49775,0.50075,0.4965,0.5,-0.003,-0.00425000000000009,-0.000750000000000028
"chisq","Chi-square independence",4,30,0.1,2000,500,0.0035,0,0.0455,0.046,0.007,0,0,0,0.50175,0.49975,0.5035,0.5,0.002,0.00374999999999992,0.000249999999999972
"chisq","Chi-square independence",4,30,0.2,2000,500,0.0035,0.004,0.0455,0.046,0.007,0.008,0.01,0.016,0.49975,0.49975,0.4995,0.497,0,-0.000250000000000083,-0.00275000000000003
"chisq","Chi-square independence",4,30,0.35,2000,500,0.0035,0.02,0.0455,0.096,0.007,0.02,0.0485,0.104,0.49175,0.47475,0.4935,0.47225,0.017,0.0187499999999999,-0.00250000000000006
"chisq","Chi-square independence",4,30,0.5,2000,500,0.0035,0.026,0.0455,0.14,0.007,0.026,0.041,0.118,0.48875,0.45275,0.4905,0.4615,0.036,0.0377499999999999,0.00874999999999992
"chisq","Chi-square independence",4,30,0.8,2000,500,0.0035,0.134,0.0455,0.344,0.007,0.154,0.0095,0.204,0.43475,0.35075,0.4265,0.40275,0.084,0.0757499999999999,0.052
"chisq","Chi-square independence",4,60,0.05,2000,500,0.005,0.006,0.046,0.038,0.0025,0,0,0,0.4995,0.504,0.50125,0.5,-0.00450000000000006,-0.00275000000000003,-0.004
"chisq","Chi-square independence",4,60,0.1,2000,500,0.005,0.004,0.046,0.042,0.0025,0,0.002,0.002,0.5005,0.502,0.50125,0.5,-0.00150000000000006,-0.000750000000000028,-0.002
"chisq","Chi-square independence",4,60,0.2,2000,500,0.005,0.016,0.046,0.07,0.0025,0.002,0.044,0.064,0.4945,0.488,0.50025,0.49,0.00649999999999995,0.01225,0.002
"chisq","Chi-square independence",4,60,0.35,2000,500,0.005,0.036,0.046,0.112,0.0025,0.008,0.043,0.104,0.4845,0.467,0.49725,0.4695,0.0174999999999999,0.0302499999999999,0.00249999999999995
"chisq","Chi-square independence",4,60,0.5,2000,500,0.005,0.058,0.046,0.254,0.0025,0.03,0.021,0.158,0.4735,0.396,0.48625,0.4315,0.0774999999999999,0.0902499999999999,0.0354999999999999
"chisq","Chi-square independence",4,60,0.8,2000,500,0.005,0.402,0.046,0.664,0.0025,0.238,0.0045,0.398,0.3015,0.191,0.38225,0.30325,0.1105,0.19125,0.11225
"chisq","Chi-square independence",4,120,0.05,2000,500,0.0055,0.004,0.0415,0.05,5e-04,0,0,0,0.50075,0.49575,0.50025,0.5,0.005,0.00449999999999995,0.00424999999999998
"chisq","Chi-square independence",4,120,0.1,2000,500,0.0055,0.004,0.0415,0.032,5e-04,0,0.0195,0.012,0.50075,0.50475,0.50025,0.50375,-0.004,-0.00450000000000006,-0.001
"chisq","Chi-square independence",4,120,0.2,2000,500,0.0055,0.026,0.0415,0.116,5e-04,0.004,0.0495,0.128,0.48975,0.46275,0.49825,0.46075,0.027,0.0354999999999999,-0.002
"chisq","Chi-square independence",4,120,0.35,2000,500,0.0055,0.076,0.0415,0.234,5e-04,0.008,0.0255,0.166,0.46475,0.40375,0.49625,0.42975,0.061,0.0924999999999999,0.026
"chisq","Chi-square independence",4,120,0.5,2000,500,0.0055,0.258,0.0415,0.522,5e-04,0.066,0.01,0.298,0.37375,0.25975,0.46725,0.356,0.114,0.2075,0.09625
"chisq","Chi-square independence",4,120,0.8,2000,500,0.0055,0.794,0.0415,0.928,5e-04,0.518,0.0015,0.686,0.10575,0.05675,0.24125,0.15775,0.049,0.1845,0.101
"chisq","Chi-square independence",4,250,0.05,2000,500,0.0055,0.008,0.035,0.044,0,0,0.0015,0.004,0.49875,0.4955,0.5,0.49875,0.00325000000000009,0.00450000000000006,0.00325000000000009
"chisq","Chi-square independence",4,250,0.1,2000,500,0.0055,0.008,0.035,0.058,0,0,0.039,0.062,0.49875,0.4885,0.5,0.4885,0.0102500000000001,0.0115000000000001,0
"chisq","Chi-square independence",4,250,0.2,2000,500,0.0055,0.048,0.035,0.15,0,0.002,0.0335,0.15,0.47875,0.4425,0.499,0.44175,0.0362500000000001,0.0565,-0.000749999999999917
"chisq","Chi-square independence",4,250,0.35,2000,500,0.0055,0.262,0.035,0.462,0,0.036,0.0085,0.3,0.37175,0.2865,0.482,0.35425,0.08525,0.1955,0.06775
"chisq","Chi-square independence",4,250,0.5,2000,500,0.0055,0.672,0.035,0.878,0,0.24,0.0015,0.574,0.16675,0.0785,0.38,0.21375,0.08825,0.3015,0.13525
"chisq","Chi-square independence",4,250,0.8,2000,500,0.0055,0.994,0.035,0.996,0,0.924,0,0.966,0.00575000000000003,0.0195,0.038,0.017,-0.0137499999999999,0.0185,-0.00249999999999995
"chisq","Chi-square independence",4,500,0.05,2000,500,0.0035,0.006,0.027,0.052,0,0,0.0145,0.034,0.49875,0.4875,0.5,0.49025,0.0112500000000001,0.0125000000000001,0.00275000000000003
"chisq","Chi-square independence",4,500,0.1,2000,500,0.0035,0.02,0.027,0.08,0,0,0.042,0.118,0.49175,0.4735,0.5,0.462,0.01825,0.0265,-0.0115
"chisq","Chi-square independence",4,500,0.2,2000,500,0.0035,0.128,0.027,0.294,0,0.01,0.0125,0.224,0.43775,0.3665,0.495,0.39425,0.0712500000000001,0.1285,0.0277500000000001
"chisq","Chi-square independence",4,500,0.35,2000,500,0.0035,0.674,0.027,0.85,0,0.16,0.002,0.59,0.16475,0.0885,0.42,0.206,0.07625,0.3315,0.1175
"chisq","Chi-square independence",4,500,0.5,2000,500,0.0035,0.978,0.027,0.998,0,0.694,5e-04,0.91,0.01275,0.0145,0.153,0.04525,-0.00174999999999992,0.1385,0.03075
"chisq","Chi-square independence",4,500,0.8,2000,500,0.0035,1,0.027,1,0,1,0,1,0.00175000000000003,0.0135,0,0,-0.0117499999999999,-0.0135,-0.0135
"cox","Cox PH regression",1,30,0.05,2000,500,0.0065,0.004,0.018,0.026,0.0205,0.03,0,0,0.50125,0.496,0.49525,0.5,0.00524999999999998,-0.000750000000000028,0.004
