"test","p_comparison","bic_comparison","tsbf_comparison","tsbf_source"
"Two-sample t-test","Included","Included","Excluded",NA
"Simple linear regression","Included","Included","Excluded",NA
"Simple logistic regression","Included","Included","Excluded",NA
"Cox proportional-hazards regression","Included","Excluded; semiparametric partial likelihood","Excluded",NA
"Wilcoxon signed-rank test","Included","Excluded","Excluded",NA
"Mann-Whitney U-test","Included","Excluded","Excluded",NA
"One-way ANOVA","Included","Included","Excluded",NA
"Repeated-measures ANOVA","Included","Included","Excluded",NA
"Chi-square independence test","Included","Included","Included for 2x2, 3x3, and 5x5 designs","BFF PDF page 6"
"Kruskal-Wallis test","Included","Excluded","Excluded",NA
