"test_key","test","q","n","theta","null_valid_reps","alt_valid_reps","alpha_p","power_p","alpha_ejab","power_ejab","alpha_bic","power_bic","alpha_tsbf","power_tsbf","risk_p","risk_ejab","risk_bic","risk_tsbf","delta_p_minus_ejab","delta_bic_minus_ejab","delta_tsbf_minus_ejab"
"anova","One-way ANOVA",3,30,0.025,2000,400,0.0045,0.005,0.043,0.0475,0.014,0.0175,0,0,0.49975,0.49775,0.49825,0.5,0.002,0.000500000000000056,0.00225000000000003
"anova","One-way ANOVA",3,30,0.0710526315789474,2000,400,0.0045,0.0025,0.043,0.045,0.014,0.01,0,0,0.501,0.499,0.502,0.5,0.00200000000000006,0.00300000000000006,0.00100000000000006
"anova","One-way ANOVA",3,30,0.117105263157895,2000,400,0.0045,0.0025,0.043,0.0575,0.014,0.0125,0,0,0.501,0.49275,0.50075,0.5,0.00825000000000004,0.00800000000000006,0.00725000000000003
"anova","One-way ANOVA",3,30,0.163157894736842,2000,400,0.0045,0.01,0.043,0.11,0.014,0.03,0,0,0.49725,0.4665,0.492,0.5,0.03075,0.0255,0.0335
"anova","One-way ANOVA",3,30,0.209210526315789,2000,400,0.0045,0.0125,0.043,0.125,0.014,0.0525,0.0045,0.01,0.496,0.459,0.48075,0.49725,0.037,0.02175,0.03825
"anova","One-way ANOVA",3,30,0.255263157894737,2000,400,0.0045,0.0375,0.043,0.1625,0.014,0.0675,0.019,0.085,0.4835,0.44025,0.47325,0.467,0.04325,0.033,0.02675
"anova","One-way ANOVA",3,30,0.301315789473684,2000,400,0.0045,0.03,0.043,0.19,0.014,0.0825,0.031,0.1675,0.48725,0.4265,0.46575,0.43175,0.06075,0.03925,0.00524999999999998
"anova","One-way ANOVA",3,30,0.347368421052632,2000,400,0.0045,0.0725,0.043,0.2675,0.014,0.115,0.0425,0.2675,0.466,0.38775,0.4495,0.3875,0.07825,0.0617500000000001,-0.000249999999999972
"anova","One-way ANOVA",3,30,0.393421052631579,2000,400,0.0045,0.1025,0.043,0.3275,0.014,0.17,0.052,0.355,0.451,0.35775,0.422,0.3485,0.09325,0.06425,-0.00924999999999992
"anova","One-way ANOVA",3,30,0.439473684210526,2000,400,0.0045,0.1625,0.043,0.4025,0.014,0.2575,0.0565,0.445,0.421,0.32025,0.37825,0.30575,0.10075,0.058,-0.0145
"anova","One-way ANOVA",3,30,0.485526315789474,2000,400,0.0045,0.205,0.043,0.4875,0.014,0.29,0.0565,0.5275,0.39975,0.27775,0.362,0.2645,0.122,0.08425,-0.0132499999999999
"anova","One-way ANOVA",3,30,0.531578947368421,2000,400,0.0045,0.2275,0.043,0.5625,0.014,0.36,0.0565,0.61,0.3885,0.24025,0.327,0.22325,0.14825,0.08675,-0.017
"anova","One-way ANOVA",3,30,0.577631578947368,2000,400,0.0045,0.3275,0.043,0.6175,0.014,0.45,0.0555,0.6575,0.3385,0.21275,0.282,0.199,0.12575,0.0692500000000001,-0.0137499999999999
"anova","One-way ANOVA",3,30,0.623684210526316,2000,400,0.0045,0.39,0.043,0.7275,0.014,0.5425,0.053,0.755,0.30725,0.15775,0.23575,0.149,0.1495,0.0780000000000001,-0.00874999999999998
"anova","One-way ANOVA",3,30,0.669736842105263,2000,400,0.0045,0.51,0.043,0.7975,0.014,0.6175,0.0485,0.81,0.24725,0.12275,0.19825,0.11925,0.1245,0.0755,-0.0035
"anova","One-way ANOVA",3,30,0.71578947368421,2000,400,0.0045,0.515,0.043,0.87,0.014,0.6675,0.044,0.8725,0.24475,0.0865,0.17325,0.08575,0.15825,0.08675,-0.000749999999999973
"anova","One-way ANOVA",3,30,0.761842105263158,2000,400,0.0045,0.65,0.043,0.9175,0.014,0.78,0.04,0.9125,0.17725,0.06275,0.117,0.06375,0.1145,0.05425,0.00100000000000006
"anova","One-way ANOVA",3,30,0.807894736842105,2000,400,0.0045,0.7075,0.043,0.9125,0.014,0.8025,0.0385,0.8975,0.1485,0.06525,0.10575,0.0705,0.08325,0.0405,0.00525000000000003
"anova","One-way ANOVA",3,30,0.853947368421053,2000,400,0.0045,0.78,0.043,0.9675,0.014,0.8625,0.0345,0.955,0.11225,0.03775,0.07575,0.03975,0.0745,0.038,0.00200000000000006
"anova","One-way ANOVA",3,30,0.9,2000,400,0.0045,0.82,0.043,0.98,0.014,0.92,0.031,0.9675,0.09225,0.0315,0.047,0.0317499999999999,0.06075,0.0155,0.000249999999999972
"anova","One-way ANOVA",3,37,0.025,2000,400,0.0045,0,0.044,0.025,0.009,0.0025,0,0,0.50225,0.5095,0.50325,0.5,-0.00725000000000009,-0.00625000000000009,-0.00950000000000006
"anova","One-way ANOVA",3,37,0.0710526315789474,2000,400,0.0045,0.0025,0.044,0.03,0.009,0.0075,0,0,0.501,0.507,0.50075,0.5,-0.006,-0.00625000000000009,-0.00700000000000001
"anova","One-way ANOVA",3,37,0.117105263157895,2000,400,0.0045,0.0075,0.044,0.065,0.009,0.0125,0,0,0.4985,0.4895,0.49825,0.5,0.00899999999999995,0.00874999999999992,0.0105
"anova","One-way ANOVA",3,37,0.163157894736842,2000,400,0.0045,0.025,0.044,0.07,0.009,0.03,5e-04,0.0125,0.48975,0.487,0.4895,0.494,0.00274999999999997,0.00249999999999995,0.00700000000000001
"anova","One-way ANOVA",3,37,0.209210526315789,2000,400,0.0045,0.0125,0.044,0.1475,0.009,0.04,0.012,0.0575,0.496,0.44825,0.4845,0.47725,0.04775,0.0362499999999999,0.029
"anova","One-way ANOVA",3,37,0.255263157894737,2000,400,0.0045,0.03,0.044,0.1375,0.009,0.0375,0.027,0.09,0.48725,0.45325,0.48575,0.4685,0.0339999999999999,0.0324999999999999,0.0152499999999999
"anova","One-way ANOVA",3,37,0.301315789473684,2000,400,0.0045,0.0775,0.044,0.25,0.009,0.1025,0.042,0.245,0.4635,0.397,0.45325,0.3985,0.0665,0.0562499999999999,0.0015
"anova","One-way ANOVA",3,37,0.347368421052632,2000,400,0.0045,0.085,0.044,0.32,0.009,0.1325,0.0525,0.34,0.45975,0.362,0.43825,0.35625,0.09775,0.0762499999999999,-0.00575000000000003
"anova","One-way ANOVA",3,37,0.393421052631579,2000,400,0.0045,0.1625,0.044,0.445,0.009,0.2225,0.054,0.49,0.421,0.2995,0.39325,0.282,0.1215,0.09375,-0.0175
"anova","One-way ANOVA",3,37,0.439473684210526,2000,400,0.0045,0.2375,0.044,0.555,0.009,0.2775,0.0545,0.6025,0.3835,0.2445,0.36575,0.226,0.139,0.12125,-0.0185
"anova","One-way ANOVA",3,37,0.485526315789474,2000,400,0.0045,0.2775,0.044,0.6075,0.009,0.3525,0.0535,0.65,0.3635,0.21825,0.32825,0.20175,0.14525,0.11,-0.0165
"anova","One-way ANOVA",3,37,0.531578947368421,2000,400,0.0045,0.4,0.044,0.7225,0.009,0.4725,0.053,0.7425,0.30225,0.16075,0.26825,0.15525,0.1415,0.1075,-0.00550000000000006
"anova","One-way ANOVA",3,37,0.577631578947368,2000,400,0.0045,0.445,0.044,0.7675,0.009,0.5475,0.051,0.7825,0.27975,0.13825,0.23075,0.13425,0.1415,0.0924999999999999,-0.00400000000000006
"anova","One-way ANOVA",3,37,0.623684210526316,2000,400,0.0045,0.595,0.044,0.87,0.009,0.65,0.0465,0.875,0.20475,0.087,0.1795,0.08575,0.11775,0.0924999999999999,-0.00125000000000003
"anova","One-way ANOVA",3,37,0.669736842105263,2000,400,0.0045,0.62,0.044,0.8675,0.009,0.705,0.0405,0.8575,0.19225,0.08825,0.152,0.0915,0.104,0.06375,0.00324999999999998
