"test_key","test","q","n","theta","null_valid_reps","alt_valid_reps","alpha_p","power_p","alpha_ejab","power_ejab","alpha_bic","power_bic","alpha_tsbf","power_tsbf","risk_p","risk_ejab","risk_bic","risk_tsbf","delta_p_minus_ejab","delta_bic_minus_ejab","delta_tsbf_minus_ejab"
"anova","One-way ANOVA",3,100,0.002,2000,400,0.004,0.0075,0.0265,0.04,0.001,0.0025,0,0,0.49825,0.49325,0.49925,0.5,0.00500000000000006,0.006,0.00675000000000003
"anova","One-way ANOVA",3,100,0.00258309933002977,2000,400,0.004,0.005,0.0265,0.0425,0.001,0,0,0,0.4995,0.492,0.5005,0.5,0.00750000000000001,0.00849999999999995,0.00800000000000001
"anova","One-way ANOVA",3,100,0.00333620107440012,2000,400,0.004,0.005,0.0265,0.0425,0.001,0.0025,0,0,0.4995,0.492,0.49925,0.5,0.00750000000000001,0.00724999999999998,0.00800000000000001
"anova","One-way ANOVA",3,100,0.00430886938006377,2000,400,0.004,0.0025,0.0265,0.035,0.001,0,0,0,0.50075,0.49575,0.5005,0.5,0.00500000000000006,0.00474999999999998,0.00425000000000003
"anova","One-way ANOVA",3,100,0.00556511880441425,2000,400,0.004,0.0025,0.0265,0.0375,0.001,0,0,0,0.50075,0.4945,0.5005,0.5,0.00625000000000003,0.00599999999999995,0.0055
"anova","One-way ANOVA",3,100,0.00718762732760925,2000,400,0.004,0,0.0265,0.0275,0.001,0,0,0,0.502,0.4995,0.5005,0.5,0.0025,0.000999999999999945,5e-04
"anova","One-way ANOVA",3,100,0.00928317766722556,2000,400,0.004,0.005,0.0265,0.0275,0.001,0.0025,0,0,0.4995,0.4995,0.49925,0.5,0,-0.000250000000000028,5e-04
"anova","One-way ANOVA",3,100,0.0119896850063788,2000,400,0.004,0.0025,0.0265,0.03,0.001,0.0025,0,0,0.50075,0.49825,0.49925,0.5,0.00250000000000006,0.001,0.00175000000000003
"anova","One-way ANOVA",3,100,0.0154852736536225,2000,400,0.004,0,0.0265,0.02,0.001,0,0,0,0.502,0.50325,0.5005,0.5,-0.00124999999999997,-0.00275000000000003,-0.00324999999999998
"anova","One-way ANOVA",3,100,0.02,2000,400,0.004,0,0.0265,0.0275,0.001,0,0,0,0.502,0.4995,0.5005,0.5,0.0025,0.000999999999999945,5e-04
"anova","One-way ANOVA",3,100,0.025,2000,400,0.004,0.0025,0.0265,0.0425,0.001,0,0,0,0.50075,0.492,0.5005,0.5,0.00875000000000004,0.00849999999999995,0.00800000000000001
"anova","One-way ANOVA",3,100,0.0666666666666667,2000,400,0.004,0.005,0.0265,0.06,0.001,0.0025,0,0,0.4995,0.48325,0.49925,0.5,0.01625,0.016,0.01675
"anova","One-way ANOVA",3,100,0.108333333333333,2000,400,0.004,0.0225,0.0265,0.105,0.001,0.0025,0.004,0.0225,0.49075,0.46075,0.49925,0.49075,0.03,0.0385,0.03
"anova","One-way ANOVA",3,100,0.15,2000,400,0.004,0.055,0.0265,0.155,0.001,0.0175,0.017,0.1375,0.4745,0.43575,0.49175,0.43975,0.03875,0.056,0.004
"anova","One-way ANOVA",3,100,0.191666666666667,2000,400,0.004,0.095,0.0265,0.24,0.001,0.0375,0.0335,0.2725,0.4545,0.39325,0.48175,0.3805,0.06125,0.0885,-0.0127499999999999
"anova","One-way ANOVA",3,100,0.233333333333333,2000,400,0.004,0.1575,0.0265,0.3825,0.001,0.0825,0.04,0.43,0.42325,0.322,0.45925,0.305,0.10125,0.13725,-0.0169999999999999
"anova","One-way ANOVA",3,100,0.275,2000,400,0.004,0.29,0.0265,0.515,0.001,0.1725,0.04,0.57,0.357,0.25575,0.41425,0.235,0.10125,0.1585,-0.0207499999999999
"anova","One-way ANOVA",3,100,0.316666666666667,2000,400,0.004,0.395,0.0265,0.68,0.001,0.2525,0.037,0.7125,0.3045,0.17325,0.37425,0.16225,0.13125,0.201,-0.011
"anova","One-way ANOVA",3,100,0.358333333333333,2000,400,0.004,0.5775,0.0265,0.8275,0.001,0.44,0.032,0.84,0.21325,0.0995,0.2805,0.096,0.11375,0.181,-0.00349999999999995
